Provincia y grupos de edad,Para ver aún con los anteojos o lentes puestos,Para oir ,Para hablar,Para caminar o subir gradas,Para utilizar brazos o manos,Del tipo intelectual,Del tipo mental,No tiene ninguna discapacidad
San José,,,,,,,,
Menores de 1 año,25,6,14,25,22,51,8,19012
Menores de 1 año,25,6,14,25,22,51,8, 19 012
De 1 a 4 años,307,99,402,307,122,356,108, 78 357
De 5 a 9 años, 1 838,412,941,516,257,988,326, 97 054
De 10 a 14 años, 3 460,608,663,598,316, 1 612,474, 110 404
De 15 a 19 años, 3 959,503,510,706,338, 1 459,523, 119 391
De 20 a 24 años, 4 545,581,491,916,437, 1 211,611, 129 100
De 25 a 29 años, 4 308,563,409, 1 023,465, 1 030,637, 119 451
De 30 a 34 años, 4 116,566,383, 1 216,526,857,607, 103 138
De 35 a 39 años, 3 753,837,441, 1 434,581,674,585, 86 196
De 40 a 44 años, 5 272,943,430, 1 985,778,609,656, 83 306
De 45 a 49 años, 8 325, 1 349,484, 2 886, 1 157,660,785, 77 047
De 50 a 54 años, 9 851, 1 533,506, 3 713, 1 464,527,814, 66 991
De 55 a 59 años, 8 510, 1 549,366, 4 317, 1 541,391,686, 51 663
De 60 a 64 años, 7 372, 1 803,447, 4 348, 1 465,276,575, 37 591
De 65 a 69 años, 6 270, 1 928,405, 4 415, 1 313,234,443, 26 388
De 70 a 74 años, 5 216, 2 178,403, 4 333, 1 212,193,435, 18 352
De 75 a 79 años, 4 511, 2 411,516, 4 397, 1 184,211,490, 12 381
De 80 a 84 años, 3 638, 2 587,527, 4 312, 1 067,199,523, 7 829
De 85 años y más, 3 445, 3 326,831, 5 086, 1 330,227,695, 4 942
Alajuela,,,,,,,,
Menores de 1 año,12,2,6,11,9,24,2, 13 398
De 1 a 4 años,148,44,323,197,69,256,51, 54 612
De 5 a 9 años,738,237,654,305,146,632,193, 66 362
De 10 a 14 años, 1 520,311,446,443,200,966,288, 74 548
De 15 a 19 años, 1 611,299,358,471,199,842,299, 78 418
De 20 a 24 años, 1 756,318,330,556,280,713,349, 79 309
De 25 a 29 años, 1 660,324,281,650,312,574,337, 71 678
De 30 a 34 años, 1 611,360,246,722,351,451,329, 61 412
De 35 a 39 años, 1 607,454,247,940,388,352,279, 51 852
De 40 a 44 años, 2 834,571,289, 1 332,549,425,381, 49 894
De 45 a 49 años, 4 701,820,312, 1 628,666,341,382, 45 083
De 50 a 54 años, 5 058,881,282, 2 098,846,302,445, 37 343
De 55 a 59 años, 4 505,938,214, 2 518, 1 013,171,325, 26 425
De 60 a 64 años, 3 993, 1 080,202, 2 742,953,145,293, 18 797
De 65 a 69 años, 3 526, 1 319,229, 2 703,917,109,285, 13 735
De 70 a 74 años, 3 041, 1 387,262, 2 661,809,144,283, 9 568
De 75 a 79 años, 2 329, 1 443,270, 2 428,742,72,246, 5 958
De 80 a 84 años, 1 863, 1 431,308, 2 257,589,114,270, 3 533
De 85 años y más, 1 843, 1 862,479, 2 712,729,132,344, 2 355
Cartago,,,,,,,,
Menores de 1 año,5,5,-,8,7,21,6, 7 342
De 1 a 4 años,95,44,149,97,49,155,25, 29 399
De 5 a 9 años,597,117,301,182,81,370,89, 36 449
De 10 a 14 años,982,155,206,191,102,601,119, 41 521
De 15 a 19 años, 1 054,164,150,210,120,541,155, 44 806
De 20 a 24 años, 1 153,167,151,257,164,498,184, 46 315
De 25 a 29 años, 1 006,191,114,334,154,348,177, 40 347
De 30 a 34 años, 1 085,185,126,354,169,284,199, 36 464
De 35 a 39 años, 1 074,239,147,465,217,270,165, 31 617
De 40 a 44 años, 1 355,336,137,683,291,243,219, 30 834
De 45 a 49 años, 2 137,438,147,933,373,215,229, 28 070
De 50 a 54 años, 2 340,484,138, 1 213,458,185,226, 22 928
De 55 a 59 años, 2 025,502,129, 1 437,507,140,192, 16 775
De 60 a 64 años, 1 759,532,116, 1 499,507,93,147, 11 412
De 65 a 69 años, 1 531,593,125, 1 459,498,84,150, 8 495
De 70 a 74 años, 1 231,679,126, 1 477,423,57,147, 5 830
De 75 a 79 años, 1 071,691,141, 1 336,401,58,162, 3 792
De 80 a 84 años,799,703,171, 1 203,353,57,131, 2 269
De 85 años y más,762,849,211, 1 279,367,68,182, 1 326
Heredia,,,,,,,,
Menores de 1 año,7,2,2,6,5,20,1, 5 913
De 1 a 4 años,75,20,102,73,28,106,32, 24 436
De 5 a 9 años,483,115,250,107,55,225,88, 31 300
De 10 a 14 años,867,120,171,149,74,389,114, 34 437
De 15 a 19 años, 1 014,152,139,195,90,353,127, 36 803
De 20 a 24 años, 1 228,161,142,248,103,290,129, 39 004
De 25 a 29 años, 1 258,151,113,315,150,271,167, 37 778
De 30 a 34 años, 1 251,146,108,340,155,198,139, 34 278
De 35 a 39 años, 1 232,204,109,423,169,162,152, 29 023
De 40 a 44 años, 1 648,249,86,544,237,137,172, 26 861
De 45 a 49 años, 2 527,349,127,765,318,153,210, 24 544
De 50 a 54 años, 2 696,392,126, 1 025,407,141,202, 20 442
De 55 a 59 años, 2 507,412,108, 1 151,392,104,175, 15 614
De 60 a 64 años, 2 201,426,101, 1 143,368,70,106, 10 973
De 65 a 69 años, 1 637,532,101, 1 185,366,48,121, 7 483
De 70 a 74 años, 1 393,578,106, 1 122,333,50,114, 5 112
De 75 a 79 años, 1 102,627,119, 1 141,306,44,133, 3 172
De 80 a 84 años,912,628,141, 1 095,269,48,141, 2 033
De 85 años y más,878,849,177, 1 269,290,49,175, 1 306
Guanacaste,,,,,,,,
Menores de 1 año,2,1,5,7,5,11,4, 5 235
De 1 a 4 años,48,17,149,116,28,87,32, 22 360
De 5 a 9 años,240,70,326,157,67,252,67, 26 062
De 10 a 14 años,450,148,248,169,81,467,95, 29 514
De 15 a 19 años,465,133,189,195,96,392,112, 29 858
De 20 a 24 años,493,117,165,202,98,320,136, 28 125
De 25 a 29 años,477,114,113,239,113,254,115, 26 271
De 30 a 34 años,591,157,141,329,133,225,120, 23 446
De 35 a 39 años,604,182,133,341,140,193,122, 20 356
De 40 a 44 años, 1 332,219,139,506,194,174,150, 18 952
De 45 a 49 años, 2 188,311,158,650,275,159,153, 16 473
De 50 a 54 años, 2 411,350,134,831,358,141,149, 13 801
De 55 a 59 años, 2 323,367,123, 1 045,401,103,130, 10 171
De 60 a 64 años, 2 005,409,94, 1 064,387,66,103, 7 158
De 65 a 69 años, 1 607,511,106, 1 081,341,50,78, 5 087
De 70 a 74 años, 1 492,564,115, 1 101,297,47,87, 3 677
De 75 a 79 años, 1 146,589,85, 1 087,305,26,65, 2 352
De 80 a 84 años,915,550,136,975,225,28,72, 1 392
De 85 años y más, 1 051,913,216, 1 294,339,58,114, 1 016
Puntarenas,,,,,,,,
Menores de 1 año,16,4,2,4,7,17,2, 7 222
De 1 a 4 años,81,33,182,131,50,143,26, 29 317
De 5 a 9 años,369,148,495,195,68,376,89, 35 611
De 10 a 14 años,693,194,288,249,103,608,121, 39 125
De 15 a 19 años,776,176,243,281,131,571,145, 38 800
De 20 a 24 años,672,154,180,322,127,392,149, 35 073
De 25 a 29 años,773,169,179,352,164,352,160, 32 814
De 30 a 34 años,743,178,147,432,196,226,150, 28 539
De 35 a 39 años,805,284,186,560,223,231,144, 24 898
De 40 a 44 años, 1 855,319,156,779,315,159,193, 23 577
De 45 a 49 años, 2 935,467,196,998,409,185,187, 19 610
De 50 a 54 años, 3 296,486,151, 1 323,514,133,201, 15 841
De 55 a 59 años, 3 010,525,140, 1 549,578,89,152, 11 559
De 60 a 64 años, 2 580,605,130, 1 528,608,52,117, 8 013
De 65 a 69 años, 2 108,711,132, 1 492,506,61,114, 5 710
De 70 a 74 años, 1 752,736,148, 1 411,430,50,93, 4 014
De 75 a 79 años, 1 415,754,147, 1 268,350,29,89, 2 570
De 80 a 84 años, 1 045,719,155, 1 058,299,40,81, 1 458
De 85 años y más, 1 038,902,235, 1 225,359,48,132,859
Limón,,,,,,,,
Menores de 1 año,13,2,4,6,6,14,6, 7 188
De 1 a 4 años,81,33,192,98,52,115,36, 30 141
De 5 a 9 años,434,156,453,187,82,283,98, 36 461
De 10 a 14 años,885,236,357,215,111,426,124, 39 117
De 15 a 19 años,872,176,208,258,124,386,143, 38 321
De 20 a 24 años,742,178,187,284,145,334,148, 33 820
De 25 a 29 años,839,192,158,336,143,264,154, 30 663
De 30 a 34 años,796,193,128,449,200,224,135, 26 058
De 35 a 39 años,962,274,181,589,261,191,152, 23 709
De 40 a 44 años, 2 013,316,146,817,327,147,156, 20 999
De 45 a 49 años, 3 268,352,151,927,357,133,149, 16 967
De 50 a 54 años, 3 375,431,139, 1 204,505,104,138, 13 521
De 55 a 59 años, 2 982,495,122, 1 468,591,58,123, 9 762
De 60 a 64 años, 2 464,554,120, 1 466,478,64,88, 6 472
De 65 a 69 años, 1 840,564,111, 1 177,427,42,69, 4 162
De 70 a 74 años, 1 445,578,100, 1 093,344,35,57, 2 869
De 75 a 79 años, 1 059,536,106,871,251,37,50, 1 730
De 80 a 84 años,758,470,97,706,204,38,56, 1 003
De 85 años y más,780,637,166,863,233,30,76,608
